iter	Logloss
0	0.6593938278
1	0.6267929077
2	0.5977863376
3	0.5707069009
4	0.5496583712
5	0.5251708596
6	0.501203634
7	0.4839296503
8	0.4616598356
9	0.4439276356
10	0.4292770321
11	0.4123829664
12	0.3970426786
13	0.3824824317
14	0.3719009787
15	0.3586538929
16	0.3474493835
17	0.3377413022
18	0.3288878425
19	0.3183223595
20	0.3072991129
21	0.2956542322
22	0.284798509
23	0.2768235287
24	0.2642817255
25	0.2597438036
26	0.2498041088
27	0.2427924205
28	0.2350010306
29	0.2286944309
30	0.2234920728
31	0.2180719537
32	0.2135738437
33	0.2074542611
34	0.2010725151
35	0.1973219888
36	0.1907262479
37	0.1867181972
38	0.1824946969
39	0.1767080921
40	0.1712835764
41	0.1669678446
42	0.1622165098
43	0.1578679004
44	0.1550882146
45	0.1509758093
46	0.1483670897
47	0.1447189622
48	0.1415182211
49	0.1385966964
50	0.1360266249
51	0.1333252454
52	0.1297891019
53	0.1263276682
54	0.1235839957
55	0.1218167806
56	0.1200507617
57	0.1164443937
58	0.1138681961
59	0.1127799325
60	0.111051026
61	0.1090716427
62	0.1073974674
63	0.1062223467
64	0.1044088622
65	0.1021333307
66	0.09928121405
67	0.09798517066
68	0.09608849833
69	0.09425249746
70	0.0931596756
71	0.09176975186
72	0.08931037127
73	0.08720944291
74	0.08520538524
75	0.08350458792
76	0.08275240559
77	0.0810552694
78	0.07927577778
79	0.07792779955
80	0.07636497789
81	0.07524425701
82	0.0739834834
83	0.07261627003
84	0.07119864933
85	0.06994102769
86	0.06861225225
87	0.06788093761
88	0.0669974715
89	0.06622459525
90	0.06542609102
91	0.06487692817
92	0.06372185077
93	0.06322097778
94	0.06236758475
95	0.06117783563
96	0.06054413925
97	0.05968156103
98	0.05869797933
99	0.05839151447
100	0.05736778146
101	0.05589102486
102	0.05576727754
103	0.05511539265
104	0.0545414666
105	0.05329500619
106	0.05274029101
107	0.05213075169
108	0.05164588508
109	0.05124024213
110	0.05051355847
111	0.0498739582
112	0.04927844112
113	0.04837226464
114	0.04802277937
115	0.04768380472
116	0.0472282151
117	0.04657303277
118	0.04606350398
119	0.04557220815
120	0.04551504426
121	0.04539225465
122	0.04481555244
123	0.0443537114
124	0.04362590434
125	0.04324911813
126	0.0430921498
127	0.04261341337
128	0.04224051459
129	0.04169571198
130	0.04164002305
131	0.04100359496
132	0.04076754845
133	0.04021660756
134	0.03994587316
135	0.03940253743
136	0.03869923495
137	0.03813531843
138	0.03738682957
139	0.03711129447
140	0.03686676187
141	0.03681654849
142	0.03636421996
143	0.03596384242
144	0.03562418081
145	0.035228212
146	0.03493545015
